title,nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,month,director,producer,composer,cast
Shyama Singha Roy,8.85,2.3,1.98,0.95,0.82,0.91,1.2,0.75,22.76,December,Rahul Sankrityan,"Niharika Entertainment, B4U Motion Pictures",Mickey J. Meyer,"Nani, Sai Pallavi, Krithi Shetty, Madonna Sebastian, Murli Sharma"
Sita Ramam,8.6,2.25,3.6,1.54,1.18,1.8,1.28,0.73,44.08,August,Hanu Raghavapudi,"Swapna Cinema, Vyjayanthi Movies",Vishal Chandrashekhar,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Bhoomika Chawla"
Soggade Chinni Nayana,12.08,7.13,4.04,4.24,2.36,2.85,4.2,1.93,47.47,January,Kalyan Krishna,Annapurna Studios,Anup Rubens,"Nagarjuna Akkineni, Ramya Krishnan, Lavanya Tripathi, Gopal Krishna Akella, Banerjee"
Spyder,9.1,4.4,4,3.8,2.85,2.6,3.58,1.8,62.64,September,A.R. Murugadoss,"Lyca Productions, NVR Cinema",Harris Jayaraj,"Mahesh Babu, Rakul Preet Singh, S.J. Suryah, Veera Ravi Kumar Yalla, Bharath Srinivasan"
Srimanthudu,22.3,9.5,5.63,6.15,4.36,4.37,5.56,2.22,85.1,August,Koratala Siva,"G. Mahesh Babu Entertainment, Mythri Movie Makers, ZEE Entertainment Enterprises",Devi Sri Prasad,"Mahesh Babu, Shruti Haasan, Jagapathi Babu, Rajendra Prasad, Anand"
Srinivasa Kalyanam,5.1,1.4,1.67,0.85,0.55,0.63,0.79,0.33,12.7,August,Satish Vegesna,Sri Venkateswara Creations,Mickey J. Meyer,"Nithiin, Raashi Khanna, Nandita Shwetha, Prakash Raj, V.K. Naresh, Ajay"
Supreme,8.45,3.51,2.97,1.85,1.4,1.41,1.97,0.72,25.48,May,Anil Ravipudi,Sri Venkateswara Creations,Sai Kartheek,"Sai Dharam Tej, Raashi Khanna, Rajendra Prasad, Ravi Kishan, Sai Kumar"
Syeraa Narasimha Reddy,32.25,18.9,16.3,8.3,6.7,7.57,9.65,4.45,144.7,October,Surender Reddy,Konidela Production Company,Julius Packiam,"Chiranjeevi, Amitabh Bachchan, Sudeep, Vijay Sethupathi, Jagapathi Babu"
Tillu Square,22.35,5,4.9,2.74,1.68,2,2.3,1.27,62.4,March,Mallik Ram,"Fortune Four Cinemas, Sithara Entertainments",Ram Miriyala,"Anupama Parameswaran, Sidhu Jonnalagadda, Murli Sharma, Neha Shetty, Brahmaji"
The Family Star,1.5,0.45,0.38,0.22,0.14,0.15,0.4,0.17,5.98,April,Parasuram,"Dil Raju Productions, Sri Venkateshwara Creations",Gopi Sundar,"Mrunal Thakur, Vijay Deverakonda, Jayaram, Vennela Kishore, Kalyani Natarajan"
Thikka,1.55,0.94,0.48,0.39,0.31,0.35,0.39,0.22,4.88,August,Sunil K. Reddy,Sri Venkateswara Movie Makers,S. Thaman,"Sai Dharam Tej, Larissa Bonesi, Rajendra Prasad, Mannara Chopra, Thagubothu Ramesh"
Uppena,14.7,7.9,8.55,5.06,2.8,3.16,2.98,1.85,50.6,February,Buchi Babu Sana,"Mythri Movie Makers, Sukumar Writings",Devi Sri Prasad,"Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi, Gayatri Jayaraman, Sai Chand"
U Turn,2.2,0.5,0.7,0.36,0.3,0.55,0.4,0.2,9.44,September,Pawan Kumar,"Pawan Kumar Studios, Srinivasaa Silver Screen, V.Y. Combines",Poornachandra Tejaswi,"Samantha Ruth Prabhu, Aadhi, Bhoomika Chawla, Rahul Ravindran, Narain"
Vakeel Saab,24.25,12.7,11.55,6.3,7.35,4.65,7.4,3.2,127.2,April,Venu Sriram,"Sri Venkateswara Creations, Bayview Projects",S. Thaman,"Pawan Kalyan, Nivetha Thomas, Anjali, Ananya Nagalla, Prakash Raj"
Veera Simha Reddy,17.25,15.2,8.85,5.84,4.25,4.75,7.37,3.08,77.06,January,Gopichand Malineni,Mythri Movie Makers,S. Thaman,"Nandamuri Balakrishna, Shruti Haasan, Honey Rose, Duniya Vijay, Varalaxmi Sarathkumar"
Venky Mama,12.83,4.3,4.15,2.42,1.55,1.78,2.23,1.05,35.83,December,Bobby Kolli,"People Media Factory, Suresh Productions",JD,"Raashi Khanna, Naga Chaitanya Akkineni, Payal Rajput, Nassar, Prakash Raj"
Vineya Vidheya Rama,12.6,11.8,8.3,5.31,4.45,3.73,6.26,2.85,62.53,January,Boyapati Srinu,DVV Entertainment,Devi Sri Prasad,"Ram Charan, Vivek Oberoi, Kiara Advani, Mahesh Manjrekar, Prashanth"
Virupaksha,15.35,5.35,5.05,2.44,1.74,2.32,2.33,1.15,44.26,April,Karthik Varma Dandu,"Sri Venkateswara Cine Chitra, Sukumar Writings",B. Ajaneesh Loknath,"Sai Dharam Tej, Samyuktha Menon, Sunil, Rajeev Kanakala, Brahmaji"
Waltair Veerayya,35.8,17.9,19.95,11.15,6.4,7.8,8.85,4.76,136.48,January,Bobby Kolli,Mythri Movie Makers,Devi Sri Prasad,"Chiranjeevi, Ravi Teja, Shruti Haasan, Catherine Tresa, Bobby Simha"
Winner,3.8,2.05,1.46,1.19,0.83,0.79,1.02,0.44,13.08,February,Gopichand Malineni,"Light House Movie Makers, Sri Lakshmi Narasimha Productions",S. Thaman,"Sai Dharam Tej, Rakul Preet Singh, Jagapathi Babu, Adarsh, Sonia Agarwal"
Varudu,5.65,3.22,1.32,0.96,0.82,0.94,1.34,0.74,18.05,March,Gunasekhar,"Thameens, Universal Media",Mani Sharma,"Allu Arjun, Arya, Bhanu Sri Mehra, Suhasini, Ashish Vidyarthi"
Darling,6.23,2.21,3.65,2.14,2.65,2.41,2.06,1.02,22.91,April,A. Karunakaran,"Goldmines Telefilms, Sri Venkateswara Cine Chitra",G.V. Prakash Kumar,"Prabhas, Kajal Aggarwal, Prabhu, Tulasi, Shraddha Das"
Simha,7.05,7.6,3.47,1.63,1.75,1.98,3.7,1.42,31.2,April,Boyapati Srinu,"United Movies, Goldmines Telefilms",Chakri,"Nandamuri Balakrishna, Nayanthara, Sneha Ullal, Namitha, Rehman"
Oka Laila Kosam,3.8,1.5,1.5,0.7,0.5,0.62,0.9,0.38,12.25,October,Vijay Kumar Konda,Annapurna Studios,Anup Rubens,"Naga Chaitanya Akkineni, Pooja Hegde, Suman, Sayaji Shinde, Mohammad Ali"
Pushpaka Vimanam,0.4,0.2,0.19,0.12,0.1,0.08,0.1,0.06,1.6,November,Damodara,"King of the Hill, Tanga Productions",Amit N. Dasani,"Ajay, Bhadram, Varsha Bollamma, Harsha Chemudu, Anand Deverakonda"
Raja Vikramarka,0.55,0.3,0.3,0.2,0.15,0.15,0.2,0.1,2.3,November,Sri Saripalli,Sree Chitra Movie Makers,Prashanth Vihari,"Kartikeya Gummakonda, Tanya S Ravichandran, Sudhakar Komakula, Sai Kumar"
Manchi Rojulochaie,1.22,0.49,0.3,0.15,0.1,0.15,0.23,0.12,3.08,November,Maruthi Dasari,"Mass Movie Makers, UV Concepts, V Celluloid",Anup Rubens,"Harsha Chemudu, Ajay Ghosh, Srikanth Iyengar, Vennela Kishore, Mehreen Pirzada"
Pelli SandaD,1.5,1.7,1.3,0.6,0.45,0.55,0.6,0.3,7.5,October,Gowri Ronanki,"Arka Mediaworks, RK Film Associates",M.M. Keeravani,"Tanikella Bharani, Kiriti Dharmaraju, Vennela Kishore, Krishna Murali Posani, Rajendra Prasad"
Taxiwaala,8,1.85,1.9,0.95,0.85,1.15,1.2,0.5,21.55,November,Rahul Sankrityan,"GA2 Pictures, UV Creations",Jakes Bejoy,"Vijay Deverakonda, Priyanka Jawalkar, Malvika Nair, Madhunandan, Yamuna"
100% Love,6.05,2.5,1.9,1.42,1.28,1.07,1.22,0.68,18.11,May,Sukumar,Geetha Arts,Devi Sri Prasad,"Naga Chaitanya Akkineni, Tamannaah Bhatia, Tara Alisha, K.R. Vijaya, Vijayakumar"
