name,date,year,director,prod,composer,cast_mem
Circle,July,2023,Neelakanta,Aura Productions,Ns Prasu,"Sai Ronak, Richa Panai, Arshin Mehta, Baba Bhaskar, Aakanksha, Snehal Kamath, Suresh Mohan, Parthav Sathya"
Lily,July,2023,Sivam,"Gopuram Films, Gopuram Studios",,"Neha K, Rajveer, Master Vedanth Varma, Baby Pranitha Reddy, Siva Krishna, Rajeev Pillai, Master Ayaan"
Stopwatch,July,2023,Bharat Varma Kakarlapudi,,Ajay Patnaik,"Swarnakanth, Jay Chandra, Rekha Nirosha, Jay Chandra"
Slum Dog Husband,July,2023,A.R. Sreedhar,Mic Movies,Bheems Ceciroleo,"Mohammad Ali, Ameena, Balaraju, Balu, Brahmaji, Chammak Chandra, Swetha Chowdary, Priyanka Dasari, Muralidhar Goud, Siddharth Jagilama"
Sakshi,July,2023,Siva Kesanakurthi,,Bheems Ceciroleo,"Sharan Kumar, Janvir Kaur, Nagendra Babu, Indraja, Aamani, Ajay, Badram, Chaitanya Garikipati, Janvir Kaur, Sharan Kumar"
Bhaag Saale,July,2023,Praneeth Bramandapally,"Vedaansh Creative Works, Big Ben Cinemas, CineValley Movies",Kaala Bhairava,"Sri Simha Koduri, Neha Solanki, Rajeev Kanakala, Satya, John Vijay, Harsha Chemudu, R.J. Hemant, Nandini Rai, Sudharshan, Varshini Sounderajan"
Revenge,July,2023,Rettadi Shrinivas,,Vijay Kurakula,"Babu Pedapudi, Neha Pandey, Bhargav, Geeta Singh"
Detective Karthik,July,2023,Venkat Narendra,"One Media Et, Reading Lamp Creations",Marcus M,"Rajath Raghav, Abhilash Bandari, Shruthi Mol, Anusha Nuthula, Akhil Kumar Atukuru, Madee, Kamala Manohari, Goldie Nissy, Hasini Rai, Yesho Bharath Reddy"
Ala Ila Ela,July,2023,Raghav Dwarki,,Mani Sharma,"Mohammad Ali, Brahmanandam, Haripriya, Shamna Kasim, Priyanka Kothari, Nagendra Babu, Seetha, Sayaji Shinde, Sithara, Shakthi Vasudevan"
Mohankrishnas Gang Leader,July,2023,Sri Laxman,,Ghana Shyam,"Mohan Krishna, Harini, Sowjanya, Suman, Laxmi, Pramila, Prasanna Kumar, Sujatha, Guruswami, Sudha"
Annapurna Photo Studio,July,2023,Chandu Muddu,"Big Ben Cinemas, Big Ben Cinemas",Prince Henry,"Chaitanya Madadi, Ramana, Inturi Vasu, Lavannya Sahukara, Viva Raghav, Uttara Reddy, Yash Rangineni, Mihirah Gurupadappa, Krishna Mohan, Lalith Adithya"
